rewFunc,trial,run,points,magnitude,score,prob,ev,rt,emotion
DEV,232,6,2065.7071,74,74,0.53619,39.8068,1562,scram
DEV,233,6,2072.6758,79,79,0.50553,39.9519,1748,scram
DEV,234,6,2080.7405,79,0,0.47625,37.5272,1943,scram
DEV,235,6,2086.5914,80,80,0.54508,43.613,1511,scram
DEV,236,6,2092.8586,79,79,0.53774,42.5894,1553,scram
DEV,237,6,2099.3195,80,0,0.54017,43.2883,1539,scram
DEV,238,6,2105.4108,75,0,0.5297,39.9431,1600,scram
DEV,239,6,2112.4808,79,0,0.50663,40.0247,1741,scram
DEV,240,6,2119.6447,81,81,0.52953,43.1098,1601,scram
CEVR,241,7,2189.5656,121,121,0.2997,36.4006,1979,fear
CEVR,242,7,2196.3079,130,0,0.29412,38.1765,1897,fear
CEVR,243,7,2203.1704,119,0,0.31063,37,2131,fear
CEVR,244,7,2209.5517,124,0,0.29949,37,1976,fear
CEVR,245,7,2216.1629,134,0,0.27706,37,1626,fear
CEVR,246,7,2222.5869,115,0,0.32078,37,2263,fear
CEVR,247,7,2230.0571,93,93,0.38576,35.8427,2943,fear
CEVR,248,7,2236.8938,88,88,0.40318,35.3873,3088,fear
CEVR,249,7,2245.3733,83,0,0.44003,36.56,3357,fear
CEVR,250,7,2253.1469,78,0,0.46903,36.531,3539,fear
CEVR,251,7,2260.8078,104,0,0.35982,37.3598,2701,fear
CEVR,252,7,2268.3236,97,0,0.39651,38.586,3034,fear
CEVR,253,7,2275.6104,156,156,0.23216,36.3035,722,fear
CEVR,254,7,2282.3688,173,173,0.21656,37.4331,320,fear
CEVR,255,7,2288.6909,173,0,0.21394,37,247,fear
CEVR,256,7,2294.8664,172,0,0.21964,37.8786,404,fear
CEVR,257,7,2301.7351,165,0,0.22243,36.7776,478,fear
CEVR,258,7,2308.5654,163,0,0.22965,37.4593,661,fear
CEVR,259,7,2314.5826,165,165,0.22114,36.5577,444,fear
CEVR,260,7,2321.2194,168,0,0.2222,37.2222,472,fear
CEVR,261,7,2327.951,158,0,0.2268,35.866,590,fear
CEVR,262,7,2335.6814,161,0,0.22553,36.3234,558,fear
CEVR,263,7,2341.8635,160,0,0.2343,37.4686,773,fear
CEVR,264,7,2348.2746,170,0,0.22024,37.4405,420,fear
CEVR,265,7,2354.3883,164,0,0.22868,37.4574,637,fear
CEVR,266,7,2360.149,147,147,0.24995,36.75,1119,fear
CEVR,267,7,2368.7392,141,0,0.25859,36.4828,1292,fear
CEVR,268,7,2375.8932,152,152,0.24013,36.5197,907,fear
CEVR,269,7,2382.4217,153,0,0.24704,37.7411,1058,fear
CEVR,270,7,2388.7998,163,0,0.23338,37.9335,751,fear
CEVR,271,7,2395.1538,145,0,0.25973,37.7792,1314,fear
CEVR,272,7,2401.979,153,0,0.24639,37.7392,1044,fear
CEVR,273,7,2407.8738,162,162,0.22695,36.773,594,fear
CEVR,274,7,2414.7586,155,0,0.24265,37.7279,963,fear
CEVR,275,7,2423.0631,169,0,0.21652,36.567,319,fear
CEVR,276,7,2428.7939,160,0,0.22945,36.7706,656,fear
CEVR,277,7,2434.9779,161,161,0.23426,37.7028,772,fear
CEVR,278,7,2441.7845,161,0,0.23558,37.9423,803,fear
CEVR,279,7,2448.8005,143,0,0.25823,37,1285,fear
CEVR,280,7,2455.4929,142,142,0.263,37.263,1376,fear
IEV,281,8,2572.2326,29,29,0.81581,23.9604,1577,scram
IEV,282,8,2579.1231,43,0,0.76312,32.8109,1981,scram
IEV,283,8,2585.6497,57,57,0.68849,39.1085,2444,scram
IEV,284,8,2593.167,64,64,0.63617,40.5208,2730,scram
IEV,285,8,2600.5244,76,76,0.56219,42.5777,3106,scram
IEV,286,8,2609.1436,104,0,0.4809,49.8078,3500,scram
IEV,287,8,2618.8558,122,0,0.41348,50.4254,3823,scram
IEV,288,8,2626.3925,51,51,0.68461,34.5761,2466,scram
IEV,289,8,2633.5081,64,64,0.65732,41.7913,2617,scram
IEV,290,8,2640.5214,22,22,0.89384,19.7635,456,scram
IEV,291,8,2647.2708,18,18,0.89779,16.2777,270,scram
IEV,292,8,2654.2283,29,0,0.86055,24.7691,1109,scram
IEV,293,8,2662.7594,50,0,0.67946,34.2743,2495,scram
IEV,294,8,2669.863,53,0,0.69598,37.207,2401,scram
IEV,295,8,2678.005,59,59,0.65788,39.1257,2614,scram
IEV,296,8,2685.208,62,62,0.66045,40.937,2600,scram
IEV,297,8,2693.7274,61,0,0.64953,39.6698,2659,scram
IEV,298,8,2700.5384,54,0,0.6939,37.3535,2413,scram
IEV,299,8,2708.5271,60,60,0.66831,39.7683,2557,scram
IEV,300,8,2716.7714,53,53,0.67857,35.6974,2500,scram
IEV,301,8,2724.0748,48,48,0.69891,33.5046,2384,scram
IEV,302,8,2732.1532,64,0,0.64448,41.2835,2686,scram
IEV,303,8,2739.3304,54,0,0.71081,38.2735,2314,scram
IEV,304,8,2747.2857,61,61,0.66612,40.5766,2569,scram
IEV,305,8,2754.4874,62,62,0.66357,41.4031,2583,scram
IEV,306,8,2761.4582,52,52,0.67337,34.7222,2529,scram
IEV,307,8,2768.6751,57,57,0.69442,39.4002,2410,scram
IEV,308,8,2775.8341,59,59,0.67857,39.7689,2500,scram
IEV,309,8,2782.5948,57,57,0.67839,38.4238,2501,scram
IEV,310,8,2789.7344,56,56,0.64804,36.526,2667,scram
IEV,311,8,2797.3707,53,53,0.68708,36.4547,2452,scram
IEV,312,8,2804.926,55,55,0.67982,37.6471,2493,scram
IEV,313,8,2811.5266,54,54,0.66448,36.03,2578,scram
IEV,314,8,2819.4792,51,51,0.68018,34.9018,2491,scram
IEV,315,8,2826.6381,44,44,0.71416,31.6104,2294,scram
IEV,316,8,2834.029,56,56,0.66667,37.2083,2566,scram
IEV,317,8,2841.7822,64,64,0.64504,41.2486,2683,scram
IEV,318,8,2848.6043,60,60,0.65585,39.259,2625,scram
IEV,319,8,2855.8607,58,58,0.6441,37.4422,2688,scram
IEV,320,8,2863.8831,57,0,0.69425,39.4119,2411,scram
CEVR,321,9,2890.3677,123,123,0.29512,36.4098,1912,happy
CEVR,322,9,2896.9197,150,0,0.24842,37.2484,1087,happy
CEVR,323,9,2904.3856,113,113,0.32391,36.6761,2302,happy
CEVR,324,9,2912.1,98,98,0.39338,38.5735,3008,happy
CEVR,325,9,2919.7176,73,73,0.48088,35.0765,3607,happy
CEVR,326,9,2927.5725,66,0,0.53712,35.3886,3889,happy
CEVR,327,9,2933.6092,128,128,0.29088,37.2909,1848,happy
CEVR,328,9,2941.6734,136,0,0.2797,38.1188,1670,happy
CEVR,329,9,2948.0434,127,127,0.29512,37.5902,1912,happy
CEVR,330,9,2954.3698,132,0,0.28971,38.1588,1830,happy
CEVR,331,9,2962.6505,129,0,0.29873,38.4937,1965,happy
CEVR,332,9,2969.6785,125,0,0.30292,37.9088,2025,happy
CEVR,333,9,2977.0651,122,0,0.29709,36.1087,1941,happy
CEVR,334,9,2984.3109,117,117,0.30593,35.7763,2067,happy
CEVR,335,9,2991.317,128,0,0.29949,38.198,1976,happy
CEVR,336,9,2997.8434,120,0,0.30328,36.3934,2030,happy
CEVR,337,9,3004.2539,129,0,0.28657,37,1781,happy
CEVR,338,9,3011.4521,107,0,0.32968,35.3516,2372,happy
CEVR,339,9,3017.7087,128,0,0.29233,37.2923,1870,happy
CEVR,340,9,3026.2791,130,0,0.28061,36.4388,1685,happy
CEVR,341,9,3035.2567,104,104,0.34377,35.6249,2533,happy
CEVR,342,9,3043.3618,108,108,0.34859,37.6972,2585,happy
CEVR,343,9,3050.7914,109,109,0.35229,38.4091,2624,happy
CEVR,344,9,3058.7896,113,0,0.34314,38.7157,2526,happy
CEVR,345,9,3066.1113,102,0,0.37074,37.7415,2807,happy
CEVR,346,9,3074.2415,108,0,0.33742,36.3252,2462,happy
CEVR,347,9,3080.8766,128,0,0.2901,37,1836,happy
CEVR,348,9,3089.2321,113,113,0.33698,38.0109,2457,happy
CEVR,349,9,3096.2431,103,0,0.34849,35.9545,2584,happy
CEVR,350,9,3103.0774,106,0,0.33558,35.6577,2441,happy
CEVR,351,9,3109.9661,100,100,0.36376,36.2725,2740,happy
CEVR,352,9,3117.3389,99,0,0.36133,35.916,2716,happy
CEVR,353,9,3124.8968,115,0,0.32835,37.6567,2356,happy
CEVR,354,9,3131.7596,107,107,0.35764,38.4305,2679,happy
CEVR,355,9,3139.1613,109,0,0.34672,37.6934,2565,happy
CEVR,356,9,3146.8483,108,108,0.3446,37.3446,2542,happy
CEVR,357,9,3154.4495,115,115,0.32335,37.3233,2295,happy
CEVR,358,9,3161.4951,106,106,0.33715,35.6514,2459,happy
CEVR,359,9,3169.4086,116,116,0.33061,38.3224,2383,happy
CEVR,360,9,3176.5425,113,113,0.31834,36.045,2232,happy
